Reference ID,Voting Date,Topic Number,Topic Title,Meaning of Yes,Meaning of No,Voting Subject,Proposal Title,Council Decision,Number of Yes,Number of No,Number of Abstentions,Number of excused,Number of non-participation,Percent_Yes
28868,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit III Riem | * | *,Art. 4 | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,65,0,3,0,0.6683673469387755
28869,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zum Art. 4 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 4 | * | *,Art. 4 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,65,1,3,0,0.6649746192893401
28870,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesbeschluss über die Finanzierung der Berufsbildung in den Jahren 2025–2028,1,131,65,0,3,0,0.6683673469387755
28871,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit | * | *,Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Weiterbildung in den Jahren 2025–2028,1,129,67,0,3,0,0.6581632653061225
28872,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit  | * | *,Antrag der Minderheit I Sauter (gemäss BR) | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Weiterbildung in den Jahren 2025–2028,1,101,91,4,3,0,0.5153061224489796
28873,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit  | * | *,Antrag der Minderheit II Riem | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung der Weiterbildung in den Jahren 2025–2028,1,130,66,0,3,0,0.6632653061224489
28874,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 1 | * | *,Art. 1 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung der Weiterbildung in den Jahren 2025–2028,1,131,66,0,3,0,0.6649746192893401
28875,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesbeschluss über die Finanzierung der Weiterbildung in den Jahren 2025–2028,1,130,66,0,3,0,0.6632653061224489
28876,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit I Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung von Beiträgen an die Kantone für Ausbildungsbeiträge in den Jahren 2025–2028,1,134,62,0,3,0,0.6836734693877551
28877,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit (gemäss BR) | * | *,Antrag der Minderheit II Prelicz-Huber | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung von Beiträgen an die Kantone für Ausbildungsbeiträge in den Jahren 2025–2028,1,134,62,0,3,0,0.6836734693877551
